property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
61380,-37.79604,145.246498,164 Mullum Mullum Road,RINGWOOD,4000000.0,house,2012,3,1,2,SC_032,2425,19879,1803,46,1,hospital_164,1530,S_157,766
59964,-37.821249,145.194442,403-405 Mitcham Road,MITCHAM,22820000.0,house,2016,3,1,0,SC_088,1325,19900,421,40,1,hospital_010,1202,S_202,1629
2557,-37.82071,144.847792,9 Eames Avenue,BROOKLYN,8480000.0,house,2010,4,1,2,SC_033,670,20022,2735,22,0,hospital_056,4564,S_056,1638
7341,-37.747311,144.774634,23 Appian Drive,ALBANVALE,6080000.0,house,2012,3,2,1,SC_048,3324,20002,2254,33,0,hospital_057,3803,S_070,392
4324,-37.83936691,144.8778229,29 Elizabeth Street,NEWPORT,9100000.0,house,2009,4,2,0,SC_033,3075,19994,630,21,0,hospital_141,2834,S_056,2794
23721,-37.64334106,144.9052887,6 Fraserburgh Crescent,GREENVALE,5500000.0,house,2009,5,2,2,SC_072,1705,44817,2686,40,0,hospital_104,1565,S_211,2100
70536,-37.878679,145.094736,14 Thurloo Street,CHADSTONE,8680000.0,house,2012,3,1,1,SC_042,320,19839,596,26,0,hospital_098,1851,S_026,1304
46178,-37.714214,145.131551,60 Lilicur Road,MONTMORENCY,4800000.0,house,2014,4,2,2,SC_051,5151,19986,892,40,0,hospital_075,2478,S_194,2331
42763,-37.72428894,145.0603943,10 Woodlawn Circuit,MACLEOD,6880000.0,house,2009,4,2,2,SC_047,3087,19983,794,31,0,hospital_025,1721,S_225,2789
2079,-37.780901,144.867822,27 Dunedin Street,MAIDSTONE,6435000.0,house,2016,3,1,2,SC_043,1525,20022,2087,22,0,hospital_056,2113,S_149,1525
5810,-37.782801,144.853016,50 Shepherd Street,BRAYBROOK,4642000.0,house,2010,2,1,1,SC_043,1421,20021,1883,26,0,hospital_174,1891,S_149,1421
51597,-37.792653,145.14236,67 Wetherby Road,DONCASTER,12992000.0,house,2014,4,3,3,SC_091,1568,19898,3125,35,1,hospital_034,2702,S_188,1733
38924,-37.76437759,145.0425415,5 Ford Street,IVANHOE,17170000.0,house,2009,3,2,0,SC_001,399,19933,563,23,0,hospital_039,1041,S_219,437
75540,-37.900687,145.076276,1 Callander Street,HUGHESDALE,6056000.0,house,2009,2,1,1,SC_087,1443,19918,657,32,0,hospital_159,2528,S_167,1443
994,-37.804312,144.905719,4/80 Moreland Street,FOOTSCRAY,8800000.0,house,2014,2,2,1,SC_011,2608,20025,422,14,0,hospital_003,1985,S_201,786
38477,-37.77878952,145.0287018,92 Wingrove Street,ALPHINGTON,10010000.0,house,2008,3,1,2,SC_001,1671,19931,229,20,0,hospital_029,1261,S_219,1640
58415,-37.80939865,145.1835938,1 Lemon Grove,NUNAWADING,4900000.0,house,2008,3,1,1,SC_088,1160,19900,1209,40,1,hospital_070,900,S_202,1741
28561,-37.796778,144.985794,20 Keele Street,COLLINGWOOD,8250000.0,house,2012,2,2,1,SC_008,2187,19975,806,11,1,hospital_178,1363,S_060,566
32987,-37.738028,144.994567,59 Jessie Street,PRESTON,11375000.0,house,2012,5,2,2,SC_103,673,20012,529,27,1,hospital_139,2298,S_085,735
48218,-37.808095,145.019423,29 Carson Street,KEW,38700000.0,house,2015,4,2,0,SC_083,1979,19905,1559,19,0,hospital_032,486,S_039,1044
62232,-37.791392,145.246616,7 Harwick Close,RINGWOOD,9197000.0,house,2013,3,1,2,SC_032,2847,19879,2312,46,1,hospital_164,1986,S_157,987
5985,-37.779495,144.816203,1/3 Dubbo Street,ALBION,3000000.0,house,2011,4,1,1,SC_102,1560,20004,776,28,0,hospital_174,1450,S_080,1505
38145,-37.770624,145.019893,241 Station Street,FAIRFIELD,11160000.0,house,2015,5,3,2,SC_001,1950,19930,987,18,0,hospital_039,1253,S_219,1939
79343,-37.956146,145.147952,72 St Johns Avenue,SPRINGVALE,8442000.0,house,2014,3,1,1,SC_057,4641,19913,883,44,0,hospital_124,3132,S_075,437
36224,-37.66797,145.023394,18 Prince Andrew Avenue,LALOR,7070000.0,house,2010,3,1,1,SC_062,5766,20006,595,40,1,hospital_053,1924,S_229,318
53968,-37.82881927,145.0392914,1 Violet Grove,HAWTHORN,16380000.0,house,2009,3,2,1,SC_083,985,19904,856,20,0,hospital_127,589,S_208,1042
96547,-37.998189,145.25842,16 George Avenue,HALLAM,4880000.0,house,2011,3,1,1,SC_077,1181,19885,2394,59,0,hospital_119,3754,S_212,967
55527,-37.836682,145.066886,32 Christowel Street,CAMBERWELL,19500000.0,house,2012,4,3,2,SC_099,1579,19851,319,30,0,hospital_168,1474,S_160,407
18319,-37.675248,144.945533,17 Wharton Avenue,BROADMEADOWS,4185000.0,house,2014,5,3,2,SC_072,3414,19960,1026,39,1,hospital_104,3517,S_161,1946
36212,-37.671134,145.034227,17 Fisher Avenue,LALOR,6975000.0,house,2016,3,1,2,SC_062,5011,20006,1612,40,1,hospital_053,2680,S_229,1335
