order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD212049,ID2759826603,2019-02-28,Nickolson,"[('iAssist Line', 1), ('Thunder line', 1)]",4405,93.78,-37.8112054,144.9619207,15,3838.03,Summer,True,1.0616,just as good as my husband's universe 7 but better price loving this phone so far. so impressed with the camera! just as good as my husband's universe 7 but better price.,True
ORD472661,ID6167289290,2019-07-25,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2), ('Thunder line', 2)]",10260,67.68,-37.8095175,144.963648,15,8788.68,Winter,False,1.136,love it! beautiful phone. works perfectly with consumer cellular (at&t sim).,True
ORD081342,ID0370469698,2019-02-08,Bakers,"[('Candle Inferno', 2), ('Alcon 10', 2)]",18760,85.1,-37.8185381,145.01601440000005,15,16031.1,Summer,False,2.0602,"missing important usa bands as per advertisement for this model. in the united states, at&t needs band 17 for 700mhz range. t-mobile needs band 12 for 700 mhz range and new phones should have band 71 for 600 mhz range. these bands do not cut it for a 2018 phone",True
ORD361555,ID0571731485,2019-04-18,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2), ('Lucent 330S', 1)]",12320,66.41,-37.8244809,144.94534860000005,10,11154.41,Autumn,True,1.3231,"phone was working for first 3 months, phone was working for first 3 months, after that touch screen has stopped working & no use of it now",False
ORD265338,ID0260906813,2019-05-12,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880,70.37,-37.8205572,145.0116272,10,2662.37,Autumn,False,1.8603,"five stars good phones for parents, as holiday gifts.",True
ORD163831,ID4889398644,2019-06-01,Thompson,"[('Olivia x460', 1), ('Toshika 750', 1), ('iStream', 2), ('iAssist Line', 2)]",10295,56.52,-37.7999051,144.9347448,25,7777.77,Winter,False,1.7874,one star a total waste of money,False
ORD281597,ID0282825841,2019-01-21,Thompson,"[('Lucent 330S', 2), ('Universe Note', 1), ('pearTV', 1), ('iAssist Line', 1)]",14445,96.29,-37.8031584,144.95097719999995,5,13819.04,Summer,True,1.1135,"perfect works great, and i have at&t",True
ORD271185,ID3945799027,2019-09-05,Thompson,"[('Thunder line', 1), ('Olivia x460', 1)]",3405,77.31,-37.8190477,144.95416830000005,25,2631.06,Spring,False,0.9451,"good good condition, came with charger.",True
ORD495909,ID0711333463,2019-08-15,Thompson,"[('pearTV', 2), ('Thunder line', 2), ('Olivia x460', 2)]",19430,66.89,-37.8064151,144.9560738,5,18525.39,Winter,False,1.7561,awesomeness! my little girl loves it. for her first phone super cool. thank you guys... phone is affordable and durable.,True
ORD030506,ID6167489440,2019-08-13,thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 1)]",31110,67.04,-37.812937700000006,144.9595872,10,28066.04,Winter,False,1.079,great purchase! love it!,True
ORD203458,ID0371967118,2019-05-02,Nickolson,"[('pearTV', 1), ('Universe Note', 1)]",9760,50.76,-37.8070217,144.9692309,5,9322.76,Autumn,False,1.2886,"had it for about a month and the screen keeps ... had it for about a month and the screen keeps locking up and switches to different apps at random times,it was a wast of money.",False
ORD115354,ID0060088469,2019-05-30,thompson,"[('Toshika 750', 2), ('Alcon 10', 2), ('Lucent 330S', 2)]",29000,64.11,-37.8183988,144.9787977,15,24714.11,Autumn,False,0.8134,"battery life incredible! i really, really like my phone. i've had just about every brand of phone available. the droid by far has the best battery life there is, which is one of the main reasons for purchasing it. it's a fun phone with great features...and best of all, it was a great price!",True
ORD385805,ID0131130370,2019-01-17,Nickolson,"[('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 2)]",37420,74.7,-37.8141041,144.9597921,25,28139.7,Summer,False,0.9932,love it!! still learning all the possibilities.,False
ORD117343,ID5322615259,2019-10-19,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 1)]",11410,88.2,-37.8043951,144.9203651,5,10927.7,Spring,False,2.5228,stars good customer!,True
ORD031706,ID3146808093,2019-01-24,Bakers,"[('Lucent 330S', 1), ('pearTV', 1), ('Universe Note', 1)]",10990,59.52,-37.8104417,144.98453840000005,25,8302.02,Summer,False,0.9418,worst phone i ever use. worst phone i ever use.,False
ORD387338,ID6167191718,2019-10-04,Thompson,"[('Thunder line', 1), ('Toshika 750', 2), ('Universe Note', 1), ('Candle Inferno', 1)]",14700,77.07,-37.8191349,144.9543556,0,14777.07,Spring,False,0.9633,"works great, love the fact you can play the same music on a group of devices.",True
ORD422784,ID0827020051,2019-08-01,Thompson,"[('iAssist Line', 1), ('Universe Note', 1)]",5675,76.07,-37.8182633,144.95042560000005,0,5751.07,winter,True,0.6887,good price if you don't mind an unlocked phone i just wish the phone was bigger but that's on me...i knew the dimensions when i ordered it..,True
ORD453864,ID1964023936,2019-05-28,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2), ('Alcon 10', 2)]",29000,64.73,-37.8193052,144.9517384,10,26164.73,Autumn,False,0.8448,"five stars great product, great price, great condition! i would buy from this seller again.",True
ORD497157,ID0775945336,2019-09-11,Nickolson,"[('pearTV', 1), ('Thunder line', 2), ('iAssist Line', 2), ('Candle Inferno', 2)]",15980,80.3,-37.8069634,144.96259619999995,0,16060.3,Spring,True,1.432,just what i was looking for i needed to make a switch from my lg and they sure did deliver.,True
ORD381237,ID0163389547,2019-04-18,Thompson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Candle Inferno', 1), ('iAssist Line', 1)]",14055,62.7,-37.81463770000001,144.95387639999996,10,12712.2,Autumn,True,0.6374,"seems off it seems off..like slow or something. not sure because i dont know phones well. and it's a metro phone? i reset it twice, just going to return",False
