order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD172711,ID0312718307,2019-03-05,Thompson,"[('Alcon 10', 2), ('Thunder line', 2), ('iStream', 1), ('Universe Note', 2)]",29310.0,84.26,-37.8028781,144.96062709999995,25,22066.76,Autumn,True,1.6158,five stars love the phone!,True
ORD011520,ID3213448171,2019-12-07,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 1)]",4750.0,63.25,-37.8075697,144.9607225,25,3625.75,Summer,False,1.3284,one star when the company sent it to me it was defective,False
ORD135288,ID0207093529,2019-08-10,Bakers,"[('Alcon 10', 2), ('Candle Inferno', 1)]",18330.0,64.45,-37.8010486,145.0043017,25,13811.95,Winter,True,1.2761,"battery problems battery dies very quickly, looking for them too send me a replacement phone.",False
ORD194711,ID0575572031,2019-02-17,Nickolson,"[('pearTV', 1), ('Thunder line', 2)]",10670.0,94.71,-37.8243552,144.9802213,10,9697.71,Summer,True,1.1364,i bought this for my computer loving 89-year-old dad. now he can check his emails from his chair rather than having to go into his computer room!,True
ORD485124,ID4315827373,2019-07-25,Bakers,"[('pearTV', 1), ('Thunder line', 1), ('Candle Inferno', 2), ('Toshika 750', 1)]",13670.0,78.59,-37.8196922,144.9989929,0,13748.59,Winter,True,1.1289,easy to read. light in weight. has many good features.,True
ORD242676,ID0702372647,2019-04-21,Thompson,"[('iStream', 2), ('Universe Note', 2)]",7200.0,64.75,-37.806192100000004,144.9417903,5,6904.75,Autumn,False,0.8579,the candle inferno has great features for the price. the video quality is asstounding.,True
ORD074126,ID1224804750,2019-12-30,Thompson,"[('iStream', 1), ('Universe Note', 2)]",7050.0,91.75,-37.814165,144.93884640000005,25,5379.25,Summer,True,0.7419,great value for money great value for money. extremely solid build. premium feel in hand.,True
ORD091458,ID3334124364,2019-05-27,Nickolson,"[('Lucent 330S', 2), ('iStream', 1), ('iAssist Line', 2)]",7060.0,77.7,-37.8171876,144.96756609999997,5,6784.7,Autumn,True,0.2345,a70. worth the purchase. imo battery life is great. ... great camera. storage is adequate. stands up to rigorous daily use.,True
ORD485206,ID2299087305,2019-01-21,Bakers,"[('iStream', 2), ('Thunder line', 2)]",4660.0,74.08,-37.808046399999995,144.98496799999995,5,4501.08,Summer,False,0.9284,much better screen resolution than my 7 inch inferno.,True
ORD357413,ID0306968245,2019-10-03,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 1), ('iAssist Line', 1), ('Olivia x460', 1)]",10230.0,81.48,-37.8173564,144.9317596,25,7753.98,Spring,False,1.4437,great deal i looked like new handled like new. battery life not so good but i think that is olivia's issue,True
ORD060006,ID6197209819,2019-12-30,Thompson,"[('Lucent 330S', 2), ('iAssist Line', 2)]",6910.0,99.05,-37.8179629,144.932101,5,6663.55,Summer,True,1.442,"nice phone works great nice phone works great, however; i didnt know that by purchasing this phone that i would get caught up in a two year contract by the carrier. i have order a phone before and this never happen maybe it has something to do with the carrier.",True
ORD046173,ID0655124678,2019-09-13,Thompson,"[('Olivia x460', 2), ('Thunder line', 2), ('iStream', 2)]",7110.0,65.51626469288013,-37.8065874,144.9414819,0,7171.13,Spring,False,0.8369,descontenta nunca trabajo el microfono yo no escucho cuando llaman sólo con blutood 😏😏,False
ORD475978,ID0176668248,2019-07-08,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 1), ('iStream', 2), ('Lucent 330S', 1)]",11705.0,64.46,-37.8128944,144.9651598,5,11184.21,Winter,False,0.7428,great phone! i am very pleased with my purchase! the phone is fast and the battery holds charge a lot more than my s8 plus!,True
ORD398413,ID0746912568,2019-10-24,Nickolson,"[('pearTV', 1), ('Universe Note', 2)]",13210.0,105.06,-37.8244373,144.98305009999999,15,11333.56,Spring,True,1.3535,solid performer been using it for 2 years now. this is the best phone i have used. it works fine even now. no lag. only issue i have with it is that there is no sd card slot.,True
ORD220674,ID4315294439,2019-04-17,Thompson,"[('Olivia x460', 2), ('Universe Note', 1), ('Toshika 750', 1)]",10220.0,64.92,-37.8171697,144.9532725,10,9262.92,Autumn,False,0.7404,very good phone very good phone,True
ORD145393,ID4716795309,2019-07-23,Thompson,"[('Candle Inferno', 2), ('Alcon 10', 2)]",18760.0,64.66,-37.8189529,144.9525466,0,18824.66,Winter,False,0.8489,good device,True
ORD279819,ID0844490410,2019-05-14,Thompson,"[('Universe Note', 2), ('iStream', 1), ('Thunder line', 2), ('Toshika 750', 1)]",15730.0,78.8,-37.8222831,144.9498288,10,14235.8,Autumn,True,1.0969,good product good solid phone. removed some of preinstalled software,True
ORD174622,ID0575386147,2019-11-08,Nickolson,"[('iAssist Line', 1), ('Lucent 330S', 2), ('iStream', 2)]",4985.0,79.82,-37.820323200000004,144.9842929,5,4815.57,Spring,False,1.3105,look like new it works perfectly.,True
ORD421636,ID0317535752,2019-05-27,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('Alcon 10', 1)]",11710.0,82.01,-37.8046313,144.96426369999998,5,11206.51,Autumn,True,1.6225,"great phone i love it great phone , fantastic price , works great with tmobile. i love digico the best customer service in the world thanks",True
ORD480438,ID1479930082,2019-10-08,Thompson,"[('pearTV', 1), ('Thunder line', 2)]",10670.0,79.55,-37.8211946,144.95491919999995,5,10216.05,Spring,False,1.1732,"great phone when the phone see's your face, it doesn't time out the screen.",True
ORD333454,ID0529158999,2019-09-11,Thompson,"[('iAssist Line', 1), ('iStream', 2)]",2525.0,106.75,-37.823791899999996,144.94038319999999,10,2379.25,Spring,True,1.3702,good and unlock good and unlock,True
ORD457702,ID0575385211,2019-12-25,Nickolson,"[('Lucent 330S', 2), ('Universe Note', 1), ('iAssist Line', 1), ('Candle Inferno', 2)]",8995.0,77.44,-37.8190255,144.982186,5,8622.69,Summer,False,1.1121,phone was 100 % good didn't expect it to feel brand new i like that it didn't came with no defects and nothing damage !!,True
ORD073217,ID0267350557,2019-07-17,Nickolson,"[('Candle Inferno', 1), ('iStream', 2), ('Universe Note', 1)]",4180.0,64.38002613754851,-37.8240335,144.9737726,5,4031.03,Winter,True,0.7101,had to return it couldn't use it with verizon,False
ORD137800,ID4238873973,2019-06-18,Nickolson,"[('pearTV', 2), ('Alcon 10', 2), ('Candle Inferno', 1), ('Thunder line', 1)]",33130.0,47.99,-37.8124315,144.96936719999997,25,24895.49,Winter,False,0.6863,i’m very disappointed in this once i bought this phone it glitches and freezes. i’m sending this phone back asp. i’m very disappointed in this.,False
ORD230676,ID0253027659,2019-01-27,Thompson,"[('iAssist Line', 1), ('pearTV', 2), ('Thunder line', 1), ('Alcon 10', 2)]",34925.0,77.22,-37.82315820000001,144.94257340000001,10,31509.72,Summer,False,1.2323,"i love my olivia phones nice phone, but unfortunately it doesn't work properly with international carriers,so i had to return!",True
ORD395436,ID6167236658,2019-08-01,Nickolson,"[('Alcon 10', 2), ('pearTV', 1), ('iStream', 1)]",24360.0,64.78,-37.8114481,144.9646868,0,24424.78,Winter,False,0.9033,five stars very satisfied customer!!!,True
ORD028199,ID0710002012,2019-01-12,Thompson,"[('iAssist Line', 1), ('Candle Inferno', 2), ('Alcon 10', 1), ('iStream', 1)]",12185.0,95.63,-37.8134339,144.9358028,5,11671.38,Summer,True,0.9944,nice phone miss wireless charging capability.,True
ORD441898,ID0316414091,2019-02-19,Thompson,"[('Thunder line', 2), ('Olivia x460', 2)]",6810.0,79.13,-37.8086358,144.9600405,0,6889.13,Summer,False,1.2261,five stars great !!!!!!! no complaints !!!!,True
ORD339162,ID2243589168,2019-09-12,Bakers,"[('Toshika 750', 1), ('Universe Note', 1), ('Alcon 10', 2), ('Olivia x460', 2)]",28120.0,83.7523403953955,-37.8021628,144.98355619999995,0,28201.71,Spring,False,1.3472,"this is the best device i have found for my e-books. i know it can be used for a lot more, but it is my library in my hand.",True
ORD006438,ID2935371908,2019-04-09,Bakers,"[('Candle Inferno', 2), ('Thunder line', 2)]",5220.0,70.02,-37.825202600000004,144.99267700000001,25,3985.02,Autumn,False,1.7076,"i love this phone i love this phone, if i didn't go to a bigger phone. this would be the phone that i would use. i have a bigger universe note phone but this is the ideal phone for someone who uses a small phone which also can be used as a smart phone.",True
ORD043970,ID1833123398,2019-07-03,Thompson,"[('Olivia x460', 1), ('Universe Note', 1), ('iStream', 1), ('Thunder line', 1)]",7005.0,51.48,-37.8032633,144.9509739,25,5305.23,Winter,False,1.1023,dont buy this 3 months and now won't keep a charge,False
