order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD138358,ID3216954875,2019-11-21,Bakers,"[('iStream', 2), ('Olivia x460', 1), ('Candle Inferno', 2), ('Universe Note', 2)]",9285,101.08,-37.8059231,144.98620649999995,25,7064.83,Spring,True,0.9141,excellent great product it have many basic function never like the universe s series but for me it work well,True
ORD221775,ID6167247179,2019-11-09,Thompson,"[('Thunder line', 2), ('iStream', 2), ('Toshika 750', 1)]",8980,105.76,-37.8208869,144.9551597,5,8636.76,Spring,True,1.1585,"fabulous loved it. don't let the software crashes and incompatibility issues pull you down. amazing phone, yet with rooms for improvements.",True
ORD365545,ID2935371913,2019-12-15,Bakers,"[('Thunder line', 2), ('iAssist Line', 2)]",8810,102.13,-37.825135499999995,144.9920867,10,8031.13,Summer,True,1.7078,fast shipping! fast shipping ! works great,True
ORD444097,ID0844490199,2019-09-19,Thompson,"[('Alcon 10', 1), ('Toshika 750', 2), ('Candle Inferno', 2), ('iStream', 2)]",18750,63.47,-37.822251200000004,144.9497707,15,16000.97,Spring,False,1.0923,phone dies a lot the phone dies really quick.,False
ORD068475,ID0579407287,2019-07-01,Nickolson,"[('Toshika 750', 1), ('Thunder line', 2), ('Alcon 10', 2)]",26580,48.4,-37.82203300000001,144.968563,0,26628.4,Winter,False,0.3924,"buyer beware: no group texting!!! some of this phone's features may be nice - however, group texting is not a feature. this fact needs to be clearly displayed. we bought this phone for our daughter for christmas and without ability to group text, it renders it useless for her and probably many others.",False
ORD137343,ID0370750302,2019-12-01,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Lucent 330S', 2), ('Alcon 10', 1)]",15815,74.99,-37.8142312,144.98567340000002,5,15099.24,Summer,False,0.9638,"a nice choice for the price a very good quality cellphone, battery that last long and not slow speed. nice camera, would buy again a xiaomi.",True
ORD164163,ID2177124600,2019-05-14,Thompson,"[('Toshika 750', 2), ('Universe Note', 2), ('iStream', 1), ('Thunder line', 2)]",20050,80.73,-37.816024,144.9567376,10,18125.73,Autumn,True,0.9285,satisfied customer i realky like this purchase!,True
ORD219826,ID0356474894,2019-02-15,Bakers,"[('Toshika 750', 2), ('Universe Note', 2), ('Thunder line', 1), ('Alcon 10', 2)]",35620,80.4,-37.800624600000006,144.9918725,5,33919.4,Summer,True,1.0842,disappointed works for what i need but more often then not i have to re-insert the sim card so the phone will read it. i would not recommend this phone or buy it again.,False
ORD194800,ID0233314845,2019-07-22,Nickolson,"[('Candle Inferno', 2), ('Universe Note', 2)]",7760,53.69,-37.8050795,144.9745234,10,7037.69,Winter,False,1.5668,"it is tough to use these tablets if you are use to pear products. internal memory is minimal and is taken up by all of the digico programs it is running. everytime my kids play a game, the wireless connection shuts down due to running out of memory. i would not recommend these tablets for anything more that an e-book reader.",False
ORD103607,ID3072718451,2019-08-18,Nickolson,"[('Universe Note', 1), ('Toshika 750', 1), ('Candle Inferno', 2)]",8630,68.22,-37.8248994,144.9567484,10,7835.22,Winter,False,1.3266,awesome phone! glad i switched from android! it is so refreshing when using this phone.. interface is awesome. it is slick and very responsive!! trust me and make a switch if you are a android user!,True
